ajuste,allowance,funcionario,centro_de_custo,projeto,contingência,area,mês_ano,id_quinzena,receita_prevista,receita_líquida,sigla_sub_area,desvio_receita,receita_ajustada,atingimento
"R$ 1.280,91",,STAFF,CC1,P1,,SL02,2025-01-12,1,,,CO,,,
"R$ 1.118,91",,STAFF,CC1,P1,,SL02,2025-01-12,2,,,CO,,,
"R$ 1.156,46",,STAFF,CC1,P2,,SL02,2025-01-11,1,,,CO,,,
"R$ 1.184,10",,STAFF,CC1,P2,,SL02,2025-01-11,2,,,CO,,,
"R$ 1.090,68",,STAFF,CC1,P2,,SL02,2025-01-12,1,,,CO,,,
"R$ 1.346,91",,STAFF,CC1,P3,,SL02,2025-01-12,2,,,CO,,,
"R$ 1.120,91",,STAFF,CC1,P3,,SL02,2026-01-01,1,,,CO,,,
"R$ 1.345,00",,EXECUTIVO,CC2,P4,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.247,00",,EXECUTIVO,CC2,P4,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.289,00",,EXECUTIVO,CC2,P5,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.199,00",,EXECUTIVO,CC2,P5,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.327,00",,EXECUTIVO,CC2,P6,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.477,00",,EXECUTIVO,CC2,P6,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.493,00",,EXECUTIVO,CC2,P7,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.439,00",,EXECUTIVO,CC2,P7,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.186,99",,EXECUTIVO,CC2,P8,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.256,99",,EXECUTIVO,CC2,P8,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.309,00",,EXECUTIVO,CC2,P9,,SL01,2025-01-12,1,,,AI,,,
"R$ 1.199,00",,EXECUTIVO,CC2,P9,,SL01,2025-01-12,2,,,AI,,,
"R$ 1.388,91",,STAFF,CC3,P10,,SL01,2025-01-11,1,,,En,,,
"R$ 1.240,91",,STAFF,CC3,P10,,SL01,2025-01-11,2,,,En,,,
"R$ 1.384,91",,STAFF,CC3,P10,,SL01,2025-01-12,1,,,En,,,
"R$ 1.360,91",,STAFF,CC3,P10,,SL01,2025-01-12,2,,,En,,,
